+-------------------------------------+-------+
|                Symbol               | Count |
|       __fsnotify_inode_delete       |   1   |
|               getname               |   3   |
|          __vm_enough_memory         |   10  |
|           get_zeroed_page           |   1   |
|             sys_newfstat            |   4   |
|              __wake_up              |   2   |
|            timerqueue_add           |   1   |
|             exit_thread             |   1   |
|               do_exit               |   1   |
|             prepend_name            |   36  |
|               read_tsc              |   3   |
|    anon_vma_interval_tree_remove    |   17  |
|            arch_vma_name            |   7   |
| memtype_rb_lowest_match.constprop.7 |   1   |
|    arch_get_unmapped_area_topdown   |   15  |
|           __inc_zone_state          |   98  |
|            task_tick_fair           |   1   |
|         avc_has_perm_noaudit        |   30  |
|           insert_vm_struct          |   2   |
|        acct_update_integrals        |   2   |
|               sha_init              |   2   |
|           ptep_clear_flush          |   3   |
|               set_brk               |   1   |
|               sys_read              |   1   |
|        perf_event_aux.part.53       |   22  |
|               putname               |   7   |
|          mark_page_accessed         |  473  |
|           __vma_link_list           |   21  |
|             dget_parent             |   3   |
|              clear_page             |   19  |
|         open_check_o_direct         |   3   |
|           account.part.28           |   1   |
|               strlcpy               |   11  |
|              pick_link              |   1   |
|               rb_next               |   1   |
|             cp_new_stat             |   4   |
|      __remove_shared_vm_struct      |   15  |
|     security_vm_enough_memory_mm    |   10  |
|             __slab_free             |   20  |
|               strrchr               |   1   |
|    __cmpxchg_double_slab.isra.50    |   4   |
|            do_dentry_open           |   3   |
|            ret_from_intr            |   1   |
|        walk_system_ram_range        |   2   |
|            tty_hung_up_p            |   1   |
|     _raw_spin_unlock_irqrestore     |   16  |
|           __set_task_comm           |   1   |
|           inode_permission          |   20  |
|               vfs_read              |   1   |
|          vfs_getattr_nosec          |   4   |
|              ttwu_stat              |   1   |
|          vma_set_page_prot          |   16  |
|            _cond_resched            |  352  |
|           hrtimer_forward           |   1   |
|         alloc_pages_current         |   11  |
|           __mix_pool_bytes          |   2   |
|             memcpy_erms             |   70  |
|     __perf_event_header__init_id    |   5   |
|          pagecache_get_page         |   8   |
|            dnotify_flush            |   8   |
|               find_vma              |   71  |
|            path_lookupat            |   3   |
|             insert_work             |   1   |
|           mntput_no_expire          |   11  |
|             exit_itimers            |   1   |
|         pagevec_lru_move_fn         |   5   |
|          _raw_spin_trylock          |   2   |
|           entry_SYSCALL_64          |   36  |
|          update_cfs_shares          |   3   |
|       security_bprm_secureexec      |   1   |
|         selinux_cred_prepare        |   3   |
|           do_close_on_exec          |   1   |
|           align_vdso_addr           |   1   |
|        page_add_new_anon_rmap       |   20  |
|         proc_exec_connector         |   1   |
|              free_pages             |   2   |
|                __fget               |   4   |
|        kmem_cache_alloc_trace       |   12  |
|             unlock_page             |  484  |
|              sys_write              |   1   |
|    security_bprm_committed_creds    |   1   |
|              split_vma              |   5   |
|              __vfs_read             |   1   |
