+-------------------------------------+-------+
|                Symbol               | Count |
|        __mod_zone_page_state        |  230  |
|       update_blocked_averages       |   1   |
|             wake_up_bit             |   1   |
|          get_unmapped_area          |   27  |
|     selinux_bprm_committed_creds    |   1   |
|            tty_mode_ioctl           |   1   |
|       prepare_exit_to_usermode      |   88  |
|         cpu_needs_another_gp        |   7   |
|           cyc2ns_read_end           |   1   |
|           __lru_cache_add           |   42  |
|            try_to_wake_up           |   47  |
|           ___pud_free_tlb           |   2   |
|         trigger_load_balance        |   2   |
|        get_page_from_freelist       |   60  |
|           perf_event_comm           |   1   |
|            legitimize_mnt           |   12  |
|     ktime_get_update_offsets_now    |   2   |
|             mutex_unlock            |  317  |
|             __fget_light            |   47  |
|         dec_zone_page_state         |   14  |
|            prepare_creds            |   7   |
|            task_work_run            |   4   |
|        perf_event_comm_output       |   3   |
|             expand_files            |   8   |
|         tty_flip_buffer_push        |  220  |
|          recalc_sigpending          |   1   |
|        fsnotify_destroy_marks       |   1   |
|            filemap_fault            |   8   |
|         lapic_next_deadline         |   2   |
|          flush_tlb_mm_range         |   9   |
|           remap_pfn_range           |   2   |
|          security_sb_statfs         |   2   |
|          rbt_memtype_lookup         |   1   |
|            irq_work_tick            |   2   |
|             do_sys_open             |   8   |
|          timekeeping_update         |   1   |
|              in_group_p             |   2   |
|             iterate_dir             |   2   |
|          return_from_execve         |   1   |
|            mutex_trylock            |   29  |
|           alloc_pages_vma           |   42  |
|             kthread_data            |   45  |
|       __fsnotify_inode_delete       |   1   |
|               getname               |   8   |
|          __vm_enough_memory         |   18  |
|           get_zeroed_page           |   1   |
|             sys_newfstat            |   9   |
|              __wake_up              |   31  |
|            timerqueue_add           |   2   |
|             exit_thread             |   1   |
|               do_exit               |   1   |
|              lookup_mnt             |   2   |
|             prepend_name            |   81  |
|               read_tsc              |   8   |
|    anon_vma_interval_tree_remove    |   32  |
|            arch_vma_name            |   11  |
| memtype_rb_lowest_match.constprop.7 |   1   |
|    arch_get_unmapped_area_topdown   |   27  |
|           __inc_zone_state          |  184  |
|            task_tick_fair           |   2   |
|         avc_has_perm_noaudit        |   73  |
|           insert_vm_struct          |   2   |
|        acct_update_integrals        |   2   |
|            tty_write_lock           |   29  |
|               sha_init              |   2   |
|           sched_clock_cpu           |   48  |
|               set_brk               |   1   |
|          rcu_report_qs_rnp          |   1   |
|               sys_read              |   5   |
|        perf_event_aux.part.53       |   42  |
|               putname               |   18  |
|          mark_page_accessed         |  587  |
|           __vma_link_list           |   45  |
|             dget_parent             |   10  |
|              clear_page             |   39  |
|         open_check_o_direct         |   8   |
|           account.part.28           |   1   |
|        ext4_data_block_valid        |   1   |
|               strlcpy               |   15  |
|              pick_link              |   4   |
|               rb_next               |   92  |
|             cp_new_stat             |   9   |
|      __remove_shared_vm_struct      |   37  |
|     security_vm_enough_memory_mm    |   18  |
|             __slab_free             |  135  |
