+-------------------------------------+-------+
|                Symbol               | Count |
|       __call_rcu.constprop.70       |   19  |
|       update_blocked_averages       |   1   |
|             wake_up_bit             |   1   |
|          get_unmapped_area          |   27  |
|     selinux_bprm_committed_creds    |   1   |
|            tty_mode_ioctl           |   1   |
|       prepare_exit_to_usermode      |   93  |
|            sys_mmap_pgoff           |   19  |
|           cyc2ns_read_end           |   2   |
|           __lru_cache_add           |   47  |
|            try_to_wake_up           |   89  |
|           ___pud_free_tlb           |   2   |
|         trigger_load_balance        |   1   |
|        get_page_from_freelist       |   65  |
|           perf_event_comm           |   1   |
|            legitimize_mnt           |   12  |
|     ktime_get_update_offsets_now    |   1   |
|             mutex_unlock            |  325  |
|             __fget_light            |   33  |
|         dec_zone_page_state         |   14  |
|            prepare_creds            |   7   |
|            task_work_run            |   4   |
|        perf_event_comm_output       |   3   |
|             expand_files            |   8   |
|         tty_flip_buffer_push        |  239  |
|          recalc_sigpending          |   1   |
|        fsnotify_destroy_marks       |   1   |
|            filemap_fault            |   8   |
|         lapic_next_deadline         |   1   |
|          flush_tlb_mm_range         |   9   |
|           remap_pfn_range           |   2   |
|      clockevents_program_event      |   1   |
|          rbt_memtype_lookup         |   1   |
|            irq_work_tick            |   1   |
|         wq_worker_waking_up         |   73  |
|          task_active_pid_ns         |   1   |
|              in_group_p             |   2   |
|             iterate_dir             |   2   |
|          return_from_execve         |   1   |
|            ctx_sched_out            |   2   |
|           alloc_pages_vma           |   47  |
|             kthread_data            |   73  |
|       __fsnotify_inode_delete       |   1   |
|               getname               |   8   |
|          __vm_enough_memory         |   18  |
|           get_zeroed_page           |   1   |
|             sys_newfstat            |   9   |
|              __wake_up              |   17  |
|            timerqueue_add           |   1   |
|             exit_thread             |   1   |
|               do_exit               |   1   |
|              lookup_mnt             |   2   |
|             prepend_name            |   81  |
|               read_tsc              |   3   |
|    anon_vma_interval_tree_remove    |   32  |
|            arch_vma_name            |   11  |
| memtype_rb_lowest_match.constprop.7 |   1   |
|    arch_get_unmapped_area_topdown   |   27  |
|           __inc_zone_state          |  194  |
|            task_tick_fair           |   1   |
|         avc_has_perm_noaudit        |   73  |
|           insert_vm_struct          |   2   |
|        acct_update_integrals        |   2   |
|        remove_entity_load_avg       |   1   |
|            tty_write_lock           |   15  |
|               sha_init              |   2   |
|           ptep_clear_flush          |   11  |
|               set_brk               |   1   |
|              ext4_bread             |   1   |
|               sys_read              |   5   |
|        perf_event_aux.part.53       |   44  |
|               putname               |   18  |
|            bh_lru_install           |   2   |
|          mark_page_accessed         |  587  |
|           __vma_link_list           |   45  |
|             dget_parent             |   10  |
|              clear_page             |   44  |
|         open_check_o_direct         |   8   |
|           account.part.28           |   1   |
|        ext4_data_block_valid        |   1   |
|               strlcpy               |   15  |
|          remove_wait_queue          |   15  |
|              pick_link              |   4   |
|               rb_next               |  112  |
|             cp_new_stat             |   9   |
|      __remove_shared_vm_struct      |   37  |
|     security_vm_enough_memory_mm    |   18  |
|             __slab_free             |  132  |
|               strrchr               |   1   |
|    __cmpxchg_double_slab.isra.50    |   46  |
|            do_dentry_open           |   8   |
|            ret_from_intr            |   1   |
|        walk_system_ram_range        |   2   |
|            tty_hung_up_p            |   15  |
|     _raw_spin_unlock_irqrestore     |  159  |
|           __set_task_comm           |   1   |
|           inode_permission          |   57  |
|               vfs_read              |   5   |
|          vfs_getattr_nosec          |   9   |
|              ttwu_stat              |   73  |
|          vma_set_page_prot          |   35  |
|            _cond_resched            |  1153 |
|           hrtimer_forward           |   1   |
|             call_filldir            |  110  |
|         alloc_pages_current         |   18  |
|           __mix_pool_bytes          |   2   |
|             memcpy_erms             |  483  |
|     __perf_event_header__init_id    |   11  |
|          pagecache_get_page         |   15  |
|            dnotify_flush            |   13  |
|   jbd2_write_access_granted.part.8  |   1   |
|               find_vma              |  131  |
|        ext4_es_lookup_extent        |   1   |
|            path_lookupat            |   9   |
|           __mnt_drop_write          |   1   |
|             insert_work             |   89  |
|           mntput_no_expire          |   27  |
|             exit_itimers            |   1   |
|         pagevec_lru_move_fn         |   12  |
|          _raw_spin_trylock          |   2   |
|           entry_SYSCALL_64          |  103  |
|          update_cfs_shares          |   75  |
|       security_bprm_secureexec      |   1   |
|         selinux_cred_prepare        |   7   |
|           do_close_on_exec          |   1   |
|           align_vdso_addr           |   1   |
