+-------------------------------------+-------+
|                Symbol               | Count |
|             prepend_path            |   11  |
|          check_preempt_curr         |   9   |
|         account_process_tick        |   47  |
|         __block_write_begin         |  129  |
|              __alloc_fd             |   4   |
|                vm_brk               |   2   |
|          __tlb_remove_page          |  489  |
|               exit_shm              |   1   |
|          ext4_inode_bitmap          |   3   |
|       __acct_update_integrals       |   49  |
|     cmpxchg_double_slab.isra.61     |  154  |
|          security_file_free         |   7   |
|            apic_ack_edge            |   1   |
|       radix_tree_maybe_preload      |  130  |
|                 fget                |   3   |
|           zone_statistics           |  222  |
|            hrtimer_cancel           |   1   |
|              __do_fault             |   8   |
|         __radix_tree_lookup         |  534  |
|        special_mapping_fault        |   1   |
|  __jbd2_journal_temp_unlink_buffer  |   6   |
|             chmod_common            |   1   |
|             exit_signals            |   1   |
|          jiffies_to_timeval         |   49  |
|           find_get_entries          |   12  |
|              dquot_drop             |   2   |
|          rebalance_domains          |   1   |
|              new_inode              |   1   |
|        ext4_ext_remove_space        |   1   |
|         __ext4_read_dirblock        |   1   |
|                strlen               |   24  |
|            __sb_end_write           |   40  |
|            percpu_up_read           |   41  |
|         get_unused_fd_flags         |   4   |
|           ext4_free_inode           |   1   |
|        __rb_insert_augmented        |   57  |
|    jbd2_journal_add_journal_head    |   6   |
|         security_file_alloc         |   4   |
|        ext4_has_free_clusters       |  129  |
|              __d_lookup             |   2   |
|            tlb_finish_mmu           |   5   |
|          ext4_block_bitmap          |   2   |
|              error_exit             |  116  |
|             set_root_rcu            |   5   |
|         cap_bprm_secureexec         |   1   |
|       rcu_note_context_switch       |   6   |
|       selinux_inode_permission      |   22  |
|              sys_lseek              |   1   |
|      pagerange_is_ram_callback      |   1   |
|             mmap_region             |   11  |
|            hrtimer_active           |   95  |
|             __slab_alloc            |   11  |
|          cancel_dirty_page          |  257  |
|            ext4_xattr_get           |   4   |
|       inode_wait_for_writeback      |   2   |
|          change_protection          |   4   |
|           task_waking_fair          |   9   |
|                kbd_bh               |   1   |
|            override_creds           |   3   |
|           ext4_clear_inode          |   1   |
|        unmapped_area_topdown        |   7   |
|           __remove_hrtimer          |   47  |
|          copy_page_to_iter          |  129  |
|          ext4_ext_drop_refs         |   2   |
|              exit_idle              |   48  |
|        __mnt_want_write_file        |   18  |
|       __call_rcu.constprop.70       |   17  |
|          filename_parentat          |   1   |
|              _d_rehash              |   1   |
|             wake_up_bit             |  139  |
|          get_unmapped_area          |   14  |
|     selinux_bprm_committed_creds    |   1   |
|          dquot_alloc_inode          |   1   |
|       prepare_exit_to_usermode      |  145  |
|            sys_mmap_pgoff           |   7   |
|           posix_acl_create          |   1   |
| jbd2_journal_begin_ordered_truncate |   1   |
|           cyc2ns_read_end           |   7   |
|           __lru_cache_add           |  213  |
|            try_to_wake_up           |   11  |
|               do_timer              |   42  |
|           ___pud_free_tlb           |   2   |
|         trigger_load_balance        |   47  |
|        get_page_from_freelist       |  222  |
|           perf_event_comm           |   1   |
|            legitimize_mnt           |   5   |
|     ktime_get_update_offsets_now    |   47  |
|             mutex_unlock            |   45  |
|             __fget_light            |   57  |
|         dec_zone_page_state         |   6   |
|            prepare_creds            |   3   |
|          ext4_ext_truncate          |   1   |
|            task_work_run            |   5   |
|        perf_event_comm_output       |   3   |
|             expand_files            |   4   |
|          recalc_sigpending          |   4   |
|        fsnotify_destroy_marks       |   3   |
|            filemap_fault            |   7   |
|         lapic_next_deadline         |   47  |
|          flush_tlb_mm_range         |   5   |
|           remap_pfn_range           |   2   |
|       autoremove_wake_function      |   1   |
|      clockevents_program_event      |   47  |
|          rbt_memtype_lookup         |   1   |
|          should_remove_suid         |   1   |
|            irq_work_tick            |   47  |
|             ext4_create             |   1   |
|           ext4_lock_group           |   1   |
|         wq_worker_waking_up         |   6   |
|      jbd2_journal_cancel_revoke     |   6   |
|           i8042_interrupt           |   1   |
|         inode_add_rsv_space         |  129  |
|       ext4_get_reserved_space       |  129  |
|      schedule_console_callback      |   3   |
|          return_from_execve         |   1   |
|            ctx_sched_out            |   7   |
|           alloc_pages_vma           |   83  |
|             kthread_data            |   6   |
|       __fsnotify_inode_delete       |   3   |
|               getname               |   4   |
|          __vm_enough_memory         |   10  |
|         mnt_want_write_file         |   1   |
|           get_zeroed_page           |   1   |
|             sys_newfstat            |   3   |
|           dquot_initialize          |   7   |
|              __wake_up              |  158  |
|            timerqueue_add           |   47  |
|             exit_thread             |   1   |
|               do_exit               |   1   |
|        workingset_activation        |  128  |
|             setattr_copy            |   3   |
|             prepend_name            |   29  |
|               read_tsc              |  184  |
|    anon_vma_interval_tree_remove    |   17  |
|            arch_vma_name            |   7   |
|          ext4_mb_load_buddy         |   1   |
|            utimes_common            |   1   |
| memtype_rb_lowest_match.constprop.7 |   1   |
|    arch_get_unmapped_area_topdown   |   14  |
|             ext4_setattr            |   3   |
|     grab_cache_page_write_begin     |  129  |
|           __inc_zone_state          |  885  |
|         ext4_invalidatepage         |  128  |
|            task_tick_fair           |   47  |
|         avc_has_perm_noaudit        |   38  |
|           insert_vm_struct          |   2   |
|        acct_update_integrals        |   2   |
|        generic_perform_write        |   33  |
|               sha_init              |   2   |
|           ptep_clear_flush          |   5   |
|               set_brk               |   1   |
|              ext4_bread             |   1   |
|     ext4_free_group_clusters_set    |   1   |
|        pagevec_lookup_entries       |   12  |
|               sys_read              |   17  |
|        perf_event_aux.part.53       |   33  |
|               putname               |   9   |
|            bh_lru_install           |   7   |
|          mark_page_accessed         |  698  |
|           __vma_link_list           |   20  |
|             dget_parent             |   3   |
|              clear_page             |   80  |
|   ext4_inode_attach_jinode.part.63  |   1   |
|     ext4_get_group_no_and_offset    |   1   |
|         open_check_o_direct         |   4   |
|           account.part.28           |   1   |
|        ext4_data_block_valid        |   5   |
|     pagevec_remove_exceptionals     |   10  |
|               strlcpy               |   11  |
|     ext4_ext_index_trans_blocks     |   1   |
|              pick_link              |   1   |
|          ext4_nonda_switch          |  129  |
|          ext4_init_security         |   1   |
|             cp_new_stat             |   3   |
|      __remove_shared_vm_struct      |   14  |
|     security_vm_enough_memory_mm    |   10  |
|          inode_init_always          |   1   |
|             __slab_free             |  154  |
|               strrchr               |   1   |
|    __cmpxchg_double_slab.isra.50    |   19  |
|            do_dentry_open           |   4   |
|            ret_from_intr            |   48  |
|             page_mapping            |  386  |
|        walk_system_ram_range        |   2   |
|            file_free_rcu            |   2   |
|      ext4_generic_delete_entry      |   1   |
|     _raw_spin_unlock_irqrestore     |  556  |
|           __set_task_comm           |   1   |
|           inode_permission          |   22  |
|               vfs_read              |   17  |
|          vfs_getattr_nosec          |   3   |
|              ttwu_stat              |   9   |
|                do_IRQ               |   1   |
|          vma_set_page_prot          |   15  |
|            _cond_resched            |  2809 |
|            taskstats_exit           |   1   |
|           hrtimer_forward           |   47  |
|         alloc_pages_current         |  139  |
|           __mix_pool_bytes          |   2   |
|             memcpy_erms             |  130  |
|     __perf_event_header__init_id    |   17  |
|          pagecache_get_page         |  405  |
|            dnotify_flush            |   9   |
|   jbd2_write_access_granted.part.8  |  170  |
|               find_vma              |  130  |
|        ext4_es_lookup_extent        |  132  |
|              __d_alloc              |   1   |
|            path_lookupat            |   3   |
|           __mnt_drop_write          |   2   |
|              del_timer              |   1   |
|             insert_work             |   6   |
|           mntput_no_expire          |   14  |
|             exit_itimers            |   1   |
|         pagevec_lru_move_fn         |   29  |
|              ns_capable             |   7   |
|          _raw_spin_trylock          |   10  |
|           entry_SYSCALL_64          |  103  |
|           ___pte_free_tlb           |   6   |
|          update_cfs_shares          |  107  |
|       security_bprm_secureexec      |   1   |
|         selinux_cred_prepare        |   3   |
|           do_close_on_exec          |   1   |
|           align_vdso_addr           |   1   |
|        page_add_new_anon_rmap       |   83  |
|       invalidate_inode_buffers      |   1   |
|             lookup_real             |   1   |
|         proc_exec_connector         |   1   |
|          input_handle_event         |   4   |
|             drop_buffers            |  128  |
|           __wake_up_locked          |   2   |
|              free_pages             |   2   |
|                __fget               |   3   |
|        kmem_cache_alloc_trace       |   11  |
|             unlock_page             |  795  |
|              sys_write              |   33  |
|    security_bprm_committed_creds    |   1   |
|              split_vma              |   5   |
|    ext4_handle_dirty_dirent_node    |   2   |
|            mnt_drop_write           |   4   |
|              __vfs_read             |   17  |
|    iov_iter_copy_from_user_atomic   |  129  |
|           put_files_struct          |   1   |
|             unlazy_walk             |   5   |
|       ext4_claim_free_clusters      |  129  |
|          account_user_time          |   46  |
|                memcmp               |   11  |
|            group_sched_in           |   7   |
|           ext4_find_extent          |   1   |
|         acct_account_cputime        |   47  |
|        security_inode_create        |   1   |
|          generic_permission         |   22  |
|          ktime_mono_to_any          |   2   |
|        perf_log_itrace_start        |   7   |
|             cap_capable             |   17  |
|           rcu_advance_cbs           |   5   |
|             commit_creds            |   1   |
|              __close_fd             |   7   |
|          security_mmap_addr         |   15  |
|         irq_chip_ack_parent         |   1   |
|           perf_swevent_add          |   7   |
|          __update_cpu_load          |   47  |
|               exit_sem              |   1   |
|           track_pfn_remap           |   2   |
|          ext4_destroy_inode         |   1   |
|          ext4_release_file          |   6   |
|           setup_arg_pages           |   1   |
|           filename_lookup           |   3   |
|        rcu_process_callbacks        |   8   |
|           __vma_link_file           |   20  |
|             ext4_unlink             |   1   |
|       inode_doinit_with_dentry      |   1   |
|              copy_page              |   10  |
|               sys_mmap              |   7   |
|             vma_rb_erase            |   4   |
|          evdev_pass_values          |   2   |
|         block_invalidatepage        |  128  |
|   ext4_ext_truncate_extend_restart  |   1   |
|         account_page_dirtied        |  129  |
|             path_noexec             |   7   |
|        flush_signal_handlers        |   1   |
|            task_work_add            |   7   |
|            _copy_to_user            |   12  |
|        update_fast_timekeeper       |   84  |
|       update_blocked_averages       |   1   |
|              sys_munmap             |   1   |
|             do_sigaction            |   12  |
|            anon_vma_clone           |   7   |
|          atime_needs_update         |   25  |
|              rcu_all_qs             |   1   |
|             revert_creds            |   3   |
|           __d_instantiate           |   2   |
|         ext4_get_inode_flags        |  166  |
|         do_get_write_access         |   6   |
|        ext4_es_insert_extent        |  130  |
|           ext4_orphan_add           |   2   |
|              sys_unlink             |   1   |
|            __dentry_kill            |   1   |
|         security_compute_sid        |   2   |
